"No.","Time","Source","Destination","Protocol","Length","Info","Intervalo"
"124312","1157.071562","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=39 Ack=7519 Win=255 Len=0","0.045407000"
"124351","1162.284798","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.213236000"
"124354","1162.339060","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=39 Ack=7553 Win=255 Len=0","0.054262000"
"124403","1167.854260","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.515200000"
"124405","1167.895724","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=39 Ack=7587 Win=255 Len=0","0.041464000"
"124450","1173.449001","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.553277000"
"124451","1173.488914","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=39 Ack=7621 Win=255 Len=0","0.039913000"
"124486","1178.076467","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","4.587553000"
"124488","1178.130986","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=39 Ack=7655 Win=255 Len=0","0.054519000"
"124526","1183.315841","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.184855000"
"124527","1183.357219","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=39 Ack=7689 Win=254 Len=0","0.041378000"
"124593","1188.513204","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.155985000"
"124595","1188.565483","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=39 Ack=7723 Win=254 Len=0","0.052279000"
"124633","1193.805778","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.240295000"
"124635","1193.849673","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=39 Ack=7757 Win=254 Len=0","0.043895000"
"124687","1199.047027","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.197354000"
"124688","1199.099705","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=39 Ack=7791 Win=254 Len=0","0.052678000"
"124695","1200.047776","192.168.3.103","5.196.78.28","MQTT","56","Ping Request","0.948071000"
"124699","1200.262203","5.196.78.28","192.168.3.103","TCP","60","1883  >  51332 [ACK] Seq=7791 Ack=41 Win=502 Len=0","0.214427000"
"124705","1201.237349","5.196.78.28","192.168.3.103","MQTT","60","Ping Response","0.975146000"
"124706","1201.289430","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=41 Ack=7793 Win=254 Len=0","0.052081000"
"124757","1203.938520","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","2.649090000"
"124760","1203.981736","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=41 Ack=7827 Win=254 Len=0","0.043216000"
"124864","1209.996040","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","6.014304000"
"124865","1210.049751","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=41 Ack=7861 Win=254 Len=0","0.053711000"
"124909","1215.196427","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.146676000"
"124910","1215.236188","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=41 Ack=7895 Win=254 Len=0","0.039761000"
